"","analysis_type","analysis_var","analysis_var_value","group_var","group_var_value","stat","stat_low","stat_upp","n","n_total","n_w","n_w_total","analysis_key"
"126.42","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY0804-Ras Al Ain",0.685585186078293,0.622546778617269,0.748623593539318,142,208,57.4288661882069,83.7662005457169,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY0804-Ras Al Ain"
"126.43","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY0804-Ras Al Ain",0.314414813921706,0.251376406460682,0.377453221382731,66,208,26.3373343575099,83.7662005457169,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY0804-Ras Al Ain"
"126.44","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY0804-Ras Al Ain",NA,NA,NA,110,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY0804-Ras Al Ain"
"126.45","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY0901-Deir-ez-Zor",0.794543301354739,0.750040238305931,0.839046364403547,256,350,165.184081163821,207.898148385586,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY0901-Deir-ez-Zor"
"126.46","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY0901-Deir-ez-Zor",0.205456698645261,0.160953635596454,0.249959761694069,94,350,42.7140672217653,207.898148385586,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY0901-Deir-ez-Zor"
"126.47","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY0901-Deir-ez-Zor",NA,NA,NA,540,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY0901-Deir-ez-Zor"
"126.48","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY0902-Abu Kamal",0.770845890251979,0.71754045631674,0.824151324187218,245,300,119.03702205886,154.423891421343,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY0902-Abu Kamal"
"126.49","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY0902-Abu Kamal",0.229154109748021,0.175848675812782,0.28245954368326,55,300,35.3868693624829,154.423891421343,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY0902-Abu Kamal"
"126.50","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY0902-Abu Kamal",NA,NA,NA,150,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY0902-Abu Kamal"
"126.51","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY0903-Al Mayadin",0.628848217816189,0.562216155055284,0.695480280577094,127,202,39.7447568401029,63.2024639874549,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY0903-Al Mayadin"
"126.52","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY0903-Al Mayadin",0.371151782183811,0.304519719422906,0.437783844944716,75,202,23.457707147352,63.2024639874549,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY0903-Al Mayadin"
"126.53","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY0903-Al Mayadin",NA,NA,NA,81,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY0903-Al Mayadin"
"126.54","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY1101-Ar-Raqqa",0.95160737555942,0.934783173193,0.968431577925841,374,422,519.460764727987,545.877194806957,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY1101-Ar-Raqqa"
"126.55","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY1101-Ar-Raqqa",0.0483926244405796,0.0315684220741587,0.0652168268070005,48,422,26.4164300789702,545.877194806957,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY1101-Ar-Raqqa"
"126.56","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY1101-Ar-Raqqa",NA,NA,NA,391,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY1101-Ar-Raqqa"
"126.57","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY1102-Tell Abiad",0.540698680182458,0.487978499376364,0.593418860988551,211,391,62.7600718301023,116.072175003135,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY1102-Tell Abiad"
"126.58","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY1102-Tell Abiad",0.459301319817542,0.406581139011449,0.512021500623636,180,391,53.3121031730326,116.072175003135,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY1102-Tell Abiad"
"126.59","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY1102-Tell Abiad",NA,NA,NA,221,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY1102-Tell Abiad"
"126.60","prop_select_one","edu_disrupted_teacher_d","0","Q1_9_district","SY1103-Ath-Thawrah",0.808820250828679,0.765074212494515,0.852566289162843,253,313,127.230266980103,157.303513172116,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ Q1_9_district %/% SY1103-Ath-Thawrah"
"126.61","prop_select_one","edu_disrupted_teacher_d","1","Q1_9_district","SY1103-Ath-Thawrah",0.191179749171321,0.147433710837157,0.234925787505485,60,313,30.0732461920126,157.303513172116,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ Q1_9_district %/% SY1103-Ath-Thawrah"
"126.62","prop_select_one","edu_disrupted_teacher_d",NA,"Q1_9_district","SY1103-Ath-Thawrah",NA,NA,NA,241,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ Q1_9_district %/% SY1103-Ath-Thawrah"
"127.1","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0200-Jebel Saman",1,1,1,245,245,306.273609570142,306.273609570142,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0200-Jebel Saman"
"127.2","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0200-Jebel Saman",NA,NA,NA,92,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0200-Jebel Saman"
"127.3","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0202-Al Bab",1,1,1,341,341,285.464386097522,285.464386097522,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0202-Al Bab"
"127.4","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0202-Al Bab",NA,NA,NA,110,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0202-Al Bab"
"127.5","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0203-Afrin",0.841587277607933,0.791445187848314,0.891729367367552,482,553,395.470454816622,469.910210549616,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0203-Afrin"
"127.6","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0203-Afrin",0.158412722392067,0.108270632632448,0.208554812151687,71,553,74.4397557329943,469.910210549616,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0203-Afrin"
"127.7","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0203-Afrin",NA,NA,NA,199,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0203-Afrin"
"127.8","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0204-A'zaz",0.926824295205296,0.898375930831874,0.955272659578717,335,370,412.895485107589,445.494887481485,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0204-A'zaz"
"127.9","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0204-A'zaz",0.0731757047947044,0.0447273404212832,0.101624069168126,35,370,32.5994023738952,445.494887481485,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0204-A'zaz"
"127.10","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0204-A'zaz",NA,NA,NA,62,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0204-A'zaz"
"127.11","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0205-Menbij",0.984490583815063,0.965373494064177,1.00360767356595,313,317,342.694982148441,348.093712405498,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0205-Menbij"
"127.12","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0205-Menbij",0.015509416184937,-0.00360767356594888,0.0346265059358229,4,317,5.39873025705664,348.093712405498,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0205-Menbij"
"127.13","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0205-Menbij",NA,NA,NA,200,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0205-Menbij"
"127.14","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0206-Ain Al Arab",0.896084203183413,0.85918654886777,0.932981857499055,326,353,276.307180145403,308.349571573519,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0206-Ain Al Arab"
"127.15","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0206-Ain Al Arab",0.103915796816587,0.067018142500945,0.14081345113223,27,353,32.0423914281155,308.349571573519,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0206-Ain Al Arab"
"127.16","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0206-Ain Al Arab",NA,NA,NA,191,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0206-Ain Al Arab"
"127.17","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0208-Jarablus",0.96679896495755,0.934915407466246,0.998682522448853,188,192,121.829524015689,126.013295867604,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0208-Jarablus"
"127.18","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0208-Jarablus",0.0332010350424504,0.00131747755114695,0.0650845925337539,4,192,4.183771851915,126.013295867604,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0208-Jarablus"
"127.19","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0208-Jarablus",NA,NA,NA,133,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0208-Jarablus"
"127.20","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0700-Idleb",0.970184511356872,0.950732805674877,0.989636217038867,459,478,807.512357504053,832.328642697758,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0700-Idleb"
"127.21","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0700-Idleb",0.0298154886431278,0.0103637829611328,0.0492671943251228,19,478,24.816285193705,832.328642697758,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0700-Idleb"
"127.22","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0700-Idleb",NA,NA,NA,209,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0700-Idleb"
"127.23","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0703-Harim",0.953146585471093,0.9260350954314,0.980258075510786,721,746,2061.9236221733,2163.28071002236,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0703-Harim"
"127.24","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0703-Harim",0.0468534145289071,0.019741924489214,0.0739649045686001,25,746,101.357087849066,2163.28071002236,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0703-Harim"
"127.25","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0703-Harim",NA,NA,NA,303,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0703-Harim"
"127.26","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0704-Jisr-Ash-Shugur",0.73529888009824,0.693511070838402,0.777086689358078,359,475,263.543865862319,358.417336127465,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0704-Jisr-Ash-Shugur"
"127.27","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0704-Jisr-Ash-Shugur",0.26470111990176,0.222913310641922,0.306488929161598,116,475,94.8734702651455,358.417336127465,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0704-Jisr-Ash-Shugur"
"127.28","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0704-Jisr-Ash-Shugur",NA,NA,NA,133,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0704-Jisr-Ash-Shugur"
"127.29","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0705-Ariha",0.99170734919858,0.983570878742483,0.999843819654677,357,361,174.385667539729,175.843879427387,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0705-Ariha"
"127.30","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0705-Ariha",0.0082926508014199,0.000156180345323104,0.0164291212575167,4,361,1.45821188765831,175.843879427387,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0705-Ariha"
"127.31","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0705-Ariha",NA,NA,NA,133,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0705-Ariha"
"127.32","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0800-Al-Hasakeh",0.946558414792436,0.918455963933801,0.974660865651072,617,657,568.141062908797,600.217645345619,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0800-Al-Hasakeh"
"127.33","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0800-Al-Hasakeh",0.0534415852075637,0.025339134348928,0.0815440360661994,40,657,32.0765824368211,600.217645345619,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0800-Al-Hasakeh"
"127.34","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0800-Al-Hasakeh",NA,NA,NA,755,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0800-Al-Hasakeh"
"127.35","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0802-Quamishli",0.993491209849579,0.988229476539879,0.998752943159278,347,353,417.350428581497,420.084671554052,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0802-Quamishli"
"127.36","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0802-Quamishli",0.00650879015042149,0.00124705684072191,0.0117705234601211,6,353,2.73424297255406,420.084671554052,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0802-Quamishli"
"127.37","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0802-Quamishli",NA,NA,NA,192,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0802-Quamishli"
"127.38","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0803-Al-Malikeyyeh",1,1,1,302,302,182.692933528295,182.692933528295,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0803-Al-Malikeyyeh"
"127.39","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0803-Al-Malikeyyeh",NA,NA,NA,187,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0803-Al-Malikeyyeh"
"127.40","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0804-Ras Al Ain",0.863847970265503,0.817599412748238,0.910096527782769,180,209,72.732857185485,84.196362889098,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0804-Ras Al Ain"
"127.41","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0804-Ras Al Ain",0.136152029734497,0.0899034722172309,0.182400587251762,29,209,11.4635057036129,84.196362889098,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0804-Ras Al Ain"
"127.42","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0804-Ras Al Ain",NA,NA,NA,109,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0804-Ras Al Ain"
"127.43","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0901-Deir-ez-Zor",0.934538623065252,0.908474336819768,0.960602909310736,321,350,194.288849330081,207.898148385586,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0901-Deir-ez-Zor"
"127.44","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0901-Deir-ez-Zor",0.0654613769347481,0.0393970906892643,0.0915256631802319,29,350,13.6092990555051,207.898148385586,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0901-Deir-ez-Zor"
"127.45","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0901-Deir-ez-Zor",NA,NA,NA,540,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0901-Deir-ez-Zor"
"127.46","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0902-Abu Kamal",1,1,1,303,303,155.765517016348,155.765517016348,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0902-Abu Kamal"
"127.47","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0902-Abu Kamal",NA,NA,NA,147,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0902-Abu Kamal"
"127.48","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY0903-Al Mayadin",0.980051481295967,0.960694018957469,0.999408943634465,196,200,61.3299476485678,62.5782918744925,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY0903-Al Mayadin"
"127.49","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY0903-Al Mayadin",0.0199485187040328,0.000591056365534456,0.0393059810425312,4,200,1.24834422592474,62.5782918744925,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY0903-Al Mayadin"
"127.50","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY0903-Al Mayadin",NA,NA,NA,83,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY0903-Al Mayadin"
"127.51","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY1101-Ar-Raqqa",0.985552955071901,0.976037752714052,0.995068157429749,411,421,537.95316210623,545.838921529066,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY1101-Ar-Raqqa"
"127.52","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY1101-Ar-Raqqa",0.0144470449280993,0.00493184257025106,0.0239622472859475,10,421,7.88575942283568,545.838921529066,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY1101-Ar-Raqqa"
"127.53","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY1101-Ar-Raqqa",NA,NA,NA,392,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY1101-Ar-Raqqa"
"127.54","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY1102-Tell Abiad",0.645928398831833,0.595166966076739,0.696689831586927,260,393,75.3590176289352,116.667757239382,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY1102-Tell Abiad"
"127.55","prop_select_one","edu_disrupted_hazards_d","1","Q1_9_district","SY1102-Tell Abiad",0.354071601168167,0.303310168413072,0.404833033923261,133,393,41.3087396104471,116.667757239382,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ Q1_9_district %/% SY1102-Tell Abiad"
"127.56","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY1102-Tell Abiad",NA,NA,NA,219,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY1102-Tell Abiad"
"127.57","prop_select_one","edu_disrupted_hazards_d","0","Q1_9_district","SY1103-Ath-Thawrah",1,1,1,311,311,156.367285730971,156.367285730971,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ Q1_9_district %/% SY1103-Ath-Thawrah"
"127.58","prop_select_one","edu_disrupted_hazards_d",NA,"Q1_9_district","SY1103-Ath-Thawrah",NA,NA,NA,243,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ Q1_9_district %/% SY1103-Ath-Thawrah"
"128.1","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0200-Jebel Saman",1,1,1,244,244,305.897239102359,305.897239102359,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0200-Jebel Saman"
"128.2","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0200-Jebel Saman",NA,NA,NA,93,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0200-Jebel Saman"
"128.3","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0202-Al Bab",1,1,1,341,341,285.464386097522,285.464386097522,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0202-Al Bab"
"128.4","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0202-Al Bab",NA,NA,NA,110,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0202-Al Bab"
"128.5","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0203-Afrin",0.984320780466834,0.969063598149707,0.999577962783961,546,554,462.891718346808,470.265108217336,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0203-Afrin"
"128.6","prop_select_one","edu_disrupted_displaced_d","1","Q1_9_district","SY0203-Afrin",0.0156792195331661,0.000422037216039246,0.030936401850293,8,554,7.37338987052773,470.265108217336,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ Q1_9_district %/% SY0203-Afrin"
"128.7","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0203-Afrin",NA,NA,NA,198,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0203-Afrin"
"128.8","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0204-A'zaz",1,1,1,368,368,444.211911291462,444.211911291462,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0204-A'zaz"
"128.9","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0204-A'zaz",NA,NA,NA,64,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0204-A'zaz"
"128.10","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0205-Menbij",0.996348444000834,0.991277828992427,1.00141905900924,316,318,347.117397321121,348.389561313783,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0205-Menbij"
"128.11","prop_select_one","edu_disrupted_displaced_d","1","Q1_9_district","SY0205-Menbij",0.00365155599916572,-0.00141905900924174,0.00872217100757318,2,318,1.27216399266206,348.389561313783,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ Q1_9_district %/% SY0205-Menbij"
"128.12","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0205-Menbij",NA,NA,NA,199,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0205-Menbij"
"128.13","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0206-Ain Al Arab",1,1,1,353,353,308.349571573519,308.349571573519,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0206-Ain Al Arab"
"128.14","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0206-Ain Al Arab",NA,NA,NA,191,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0206-Ain Al Arab"
"128.15","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0208-Jarablus",1,1,1,192,192,126.013295867604,126.013295867604,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0208-Jarablus"
"128.16","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0208-Jarablus",NA,NA,NA,133,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0208-Jarablus"
"128.17","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0700-Idleb",0.979545996922383,0.963929890205066,0.995162103639701,465,478,815.304190078429,832.328642697758,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0700-Idleb"
"128.18","prop_select_one","edu_disrupted_displaced_d","1","Q1_9_district","SY0700-Idleb",0.0204540030776169,0.00483789636029943,0.0360701097949344,13,478,17.0244526193286,832.328642697758,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ Q1_9_district %/% SY0700-Idleb"
"128.19","prop_select_one","edu_disrupted_displaced_d",NA,"Q1_9_district","SY0700-Idleb",NA,NA,NA,209,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ Q1_9_district %/% SY0700-Idleb"
"128.20","prop_select_one","edu_disrupted_displaced_d","0","Q1_9_district","SY0703-Harim",0.975260071544837,0.957301847405183,0.99321829568449,733,744,2106.39586457139,2159.82990181768,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ Q1_9_district %/% SY0703-Harim"
